monthly_income,age,gender,house_rent,existing_emi,cibil_score,loan_amount,tenure_months,foir,defaulted
43595.38,52,Female,9478.16,8409.88,643,2306261.82,24,2.8759,1
25000.0,45,Male,2978.77,8483.36,676,997601.0,12,3.9853,1
39722.67,59,Female,10982.39,13642.18,674,499716.28,48,0.9451,1
41301.03,38,Male,8194.78,4072.84,790,778713.48,24,1.1758,1
32822.23,35,Female,5519.62,5070.7,643,1066707.86,60,1.0293,1
45222.82,52,Male,4560.48,996.81,741,1648042.44,12,3.3438,1
59995.54,26,Male,16796.2,18338.8,767,111011.27,36,0.6462,0
125881.08,55,Female,38828.31,25050.37,731,2148119.72,48,0.9485,0
53492.08,54,Male,10632.09,7209.94,802,282625.54,48,0.4701,0
55757.95,58,Male,13440.7,2200.75,594,2261572.36,36,1.6084,1
47229.64,25,Male,7411.35,15650.42,759,2378642.85,24,2.8356,1
25000.0,38,Male,6388.74,4639.42,708,2476246.71,48,3.0011,1
48375.22,36,Male,4984.31,4790.35,622,2042824.44,24,2.1702,1
50519.52,28,Male,11223.47,6192.45,649,440453.26,60,0.5343,0
167983.5,45,Female,43852.32,15915.43,821,1794800.9,36,0.7056,0
44525.6,52,Male,14673.32,9378.58,761,587971.1,24,1.1556,1
56998.13,46,Female,11133.67,18552.16,772,2253106.81,60,1.3803,1
48177.34,42,Female,14033.94,14445.63,782,859854.22,12,2.1685,1
27327.83,51,Male,6816.16,4403.42,631,884310.34,48,1.2469,1
86804.3,30,Female,28797.59,25110.29,735,2302367.91,36,1.4894,1
71393.81,32,Female,14249.81,10572.49,791,131754.57,12,0.5108,0
72803.26,48,Male,13088.12,6429.07,693,565518.76,12,0.9546,1
31110.67,26,Male,10010.96,10708.15,808,1112637.44,12,3.8268,1
98853.79,40,Male,11102.38,10514.15,680,1781731.76,24,1.0587,1
25000.0,25,Other,3352.41,2832.59,728,1654158.8,48,1.9575,1
65737.75,43,Male,7928.04,22771.06,745,1706588.5,36,1.3169,1
146565.52,29,Female,45549.26,6870.2,769,2212052.87,84,0.6161,0
29873.64,49,Female,3066.58,7951.97,701,390472.99,84,0.5926,0
36932.65,36,Male,11649.08,12096.71,785,1353188.07,48,1.5899,1
51525.17,42,Female,10965.43,9229.61,747,1841146.45,48,1.3155,1
38111.15,28,Male,3849.47,33.64,613,1626684.26,48,1.205,1
25000.0,40,Male,5010.28,3281.77,839,1175953.89,60,1.3544,1
50730.44,34,Female,7442.17,1980.98,657,141075.01,60,0.2462,0
28820.67,59,Male,7380.98,4198.18,844,245085.44,60,0.5867,0
62118.32,57,Male,16761.99,17176.3,709,385459.18,60,0.6813,0
30954.94,54,Male,6868.34,4753.1,697,923746.61,48,1.1467,1
106400.68,31,Other,11717.89,16084.99,745,382368.29,48,0.3542,0
33135.93,60,Male,8748.95,6457.41,674,1122597.55,84,1.039,1
41729.74,53,Female,12957.49,8495.83,597,528740.78,36,0.9289,1
73626.38,51,Male,20621.35,22066.1,712,1969998.87,84,1.0379,1
26491.2,54,Male,8145.76,2859.05,744,2191570.28,84,1.8319,1
54925.33,27,Male,8245.8,15795.7,819,1035154.02,36,1.0547,1
94237.3,43,Male,30365.33,18666.22,642,1327196.24,36,0.9814,1
25000.0,27,Male,4513.71,2629.63,757,2388390.98,84,1.9215,1
53761.72,45,Female,5556.34,5553.27,713,1385218.61,84,0.6478,0
55823.01,23,Male,17352.47,7055.92,722,2488175.72,84,1.2004,1
72468.8,58,Male,24310.05,15794.04,783,441114.38,36,0.7527,0
26410.7,40,Female,6969.51,2133.57,686,2169343.41,36,3.0338,1
25330.68,54,Female,3998.68,8159.44,730,1293287.21,60,1.5901,1
63638.3,50,Other,10368.98,12805.26,790,154513.87,48,0.4269,0
56868.24,37,Male,12320.4,18311.89,786,2433335.06,36,1.9395,1
55561.54,30,Male,18027.37,902.4,640,2416114.96,24,2.3675,1
58292.23,55,Male,8009.32,6990.05,680,1019850.02,36,0.8301,1
34891.12,40,Male,10693.9,278.52,710,2389940.97,36,2.557,1
55057.14,38,Male,9515.29,5246.29,772,438423.14,48,0.4739,0
56757.11,47,Male,17148.96,17123.75,703,1732264.34,84,1.1264,1
34297.38,56,Female,11320.46,439.47,725,560629.57,60,0.6983,0
124602.91,43,Male,25777.04,19020.82,801,691953.37,12,0.8503,0
62125.79,52,Male,11882.34,2556.38,697,1970409.85,84,0.7755,0
27020.42,30,Male,8121.13,3942.12,815,1005659.4,84,1.0837,1
68068.97,31,Male,15817.24,19984.92,615,117106.01,48,0.5704,0
30111.4,58,Male,8163.57,6566.54,694,1094172.22,60,1.2793,1
72659.71,26,Female,18579.62,18736.38,631,647366.37,24,0.9288,1
87491.58,61,Female,12093.28,10690.28,727,1739991.79,12,2.0181,1
32521.57,54,Female,10120.63,10749.65,768,566676.87,60,1.0206,1
79355.11,56,Female,11819.45,19699.25,709,2121408.47,84,0.8549,0
60257.99,57,Other,20070.16,8895.86,689,741023.23,60,0.7481,0
73941.54,37,Female,12026.06,11036.71,631,1043267.82,48,0.6766,0
126550.47,60,Female,35873.29,40690.97,829,815288.47,60,0.7451,0
43360.58,60,Male,7421.76,8747.63,718,1645416.03,36,1.6153,1
33628.59,32,Male,6034.53,8314.09,690,342792.5,60,0.6483,0
31421.35,41,Female,5577.3,4586.33,821,1247438.49,12,3.8322,1
32600.89,60,Male,9355.58,2552.4,697,902691.56,60,0.9673,1
47166.97,39,Male,11282.52,11944.83,660,2221931.11,24,2.688,1
58138.07,23,Female,18647.1,12368.2,673,276189.02,36,0.689,0
56294.12,38,Female,9955.23,9877.93,664,2091268.16,12,3.6356,1
74131.19,39,Male,20237.68,16190.79,650,502433.14,12,1.0904,1
49340.52,26,Male,14221.77,3596.92,674,312586.38,84,0.4696,0
101393.78,36,Male,13979.21,28175.16,850,585574.86,48,0.565,0
42944.83,28,Female,8595.29,14251.54,645,346367.16,48,0.7405,0
191010.67,38,Female,42156.89,59573.57,623,1350361.48,36,0.764,0
67025.85,59,Male,12662.65,7540.58,738,2471715.89,12,3.5607,1
31933.83,32,Female,5764.96,4537.86,715,182385.64,84,0.4204,0
28697.17,30,Female,7794.29,8119.6,762,1206708.04,24,2.5144,1
62394.74,27,Male,9606.71,12996.26,683,1026568.79,60,0.72,0
43838.54,21,Female,12158.52,8406.92,663,915055.39,60,0.923,1
70052.5,56,Male,23380.8,22719.76,828,896472.67,60,0.9363,0
62107.3,41,Male,14986.45,11651.87,615,2248030.62,48,1.3644,1
47267.85,57,Female,11952.08,8519.01,743,145542.76,12,0.7052,0
32099.74,44,Male,3763.15,472.08,764,1959799.33,12,5.5279,1
25000.0,45,Female,7902.98,607.4,773,707039.63,24,1.6586,1
39212.17,27,Male,6719.47,101.84,700,1019909.23,48,0.8462,1
75222.03,37,Female,19088.55,24043.63,638,1108359.79,24,1.2601,1
54559.49,49,Female,18810.91,7798.48,817,831356.21,12,1.8344,1
26294.91,50,Male,6544.16,4312.27,691,324541.27,60,0.6812,0
53454.73,27,Male,15030.26,15816.48,819,374394.04,48,0.7581,0
59436.2,53,Male,12560.65,12673.95,743,815514.7,48,0.7792,0
31510.35,27,Female,3626.57,6721.96,688,2072341.73,48,2.0282,1
52937.25,44,Female,15849.4,5494.2,745,423106.37,84,0.54,0
50468.48,31,Male,5488.43,14730.13,794,1882335.6,84,1.0392,1
27681.37,29,Male,7616.93,1606.64,725,793287.35,60,0.9563,1
58623.66,32,Female,6198.3,1090.54,672,2220315.84,84,0.7728,0
64886.33,55,Male,20476.59,4351.35,603,1127988.34,48,0.8319,1
84248.46,24,Male,11744.99,7894.76,692,512135.95,84,0.3372,0
83025.33,56,Male,18976.92,8203.64,772,2466026.68,84,0.8359,0
25000.0,48,Other,6232.19,5866.99,654,523922.85,36,1.1701,1
30671.45,33,Female,6575.54,2338.35,764,1462287.57,48,1.5228,1
63418.93,43,Male,11744.61,15019.53,721,1466287.55,84,0.8179,0
63379.32,39,Female,13750.37,2021.56,768,994752.28,60,0.5901,0
63419.32,57,Male,11279.38,3267.42,567,2383572.62,84,0.8729,1
336504.14,59,Male,70507.91,59927.18,627,2125298.95,84,0.4958,0
65215.03,44,Other,12373.13,21042.51,689,2091566.95,48,1.3413,1
86489.89,36,Male,20891.74,26020.37,841,2437964.65,84,1.025,1
78984.02,53,Other,12596.45,26780.62,670,1197062.41,36,0.9947,1
67893.5,32,Male,23570.19,15457.16,711,333245.86,36,0.7355,0
41871.7,54,Male,9430.24,9904.13,850,1937094.22,84,1.2539,1
71645.43,27,Male,10642.25,15673.01,747,1013950.19,48,0.7331,0
33309.15,31,Male,7303.59,7260.95,775,556828.36,12,1.9147,1
43546.76,51,Female,13787.07,2242.32,678,1259793.62,12,2.9249,1
38457.85,49,Female,4055.45,7318.86,796,2321725.46,24,3.1095,1
51069.21,33,Female,13782.99,6900.66,806,511256.85,36,0.7328,0
155956.01,51,Male,36960.32,24155.72,752,2136877.16,12,1.6029,1
25000.0,22,Male,3559.74,4581.51,714,1103691.86,24,2.3833,1
69087.57,59,Male,21028.12,3104.7,756,428324.75,12,0.8973,0
25000.0,35,Other,4805.53,3145.52,614,2136117.53,48,2.5264,1
38717.0,31,Male,6715.48,859.8,790,2427088.82,84,1.269,1
84497.34,54,Female,25943.33,28972.77,664,799049.72,36,0.9595,1
50621.92,59,Female,13143.03,2100.04,701,828486.9,12,1.7476,1
28599.02,24,Female,9282.23,2587.74,805,1037310.36,48,1.3525,1
34281.05,31,Female,8826.37,10694.06,791,2053912.87,24,3.3619,1
68857.81,49,Male,19638.55,11633.42,614,125001.27,48,0.5011,0
34023.84,22,Male,10517.16,1615.21,658,637495.72,24,1.2299,1
54624.04,36,Male,6209.93,7345.88,761,1794159.55,12,3.1511,1
50150.61,59,Male,14744.89,2033.8,606,1073534.68,84,0.7011,1
35390.54,33,Male,8968.9,2480.01,812,892709.5,60,0.8719,0
143196.35,57,Female,16807.95,2607.67,727,2193478.93,84,0.3979,0
67302.96,37,Male,15287.5,10322.9,811,2301601.41,48,1.2644,1
25000.0,41,Female,3015.36,7058.07,671,2375166.93,60,2.4686,1
53810.68,39,Female,15281.52,11035.99,677,754121.28,36,0.9479,1
35210.75,27,Female,8331.76,7472.46,787,2290030.26,60,1.8629,1
75073.03,58,Male,25404.22,5270.46,700,1868717.33,84,0.8348,0
32982.74,28,Female,4808.35,3969.9,639,470115.4,36,0.7328,1
46287.71,33,Female,11641.75,13693.51,756,1564648.07,12,3.5349,1
63101.11,57,Male,9647.88,1940.34,616,163203.57,12,0.4122,0
75574.76,22,Male,19159.43,22693.27,813,1800107.57,48,1.1694,1
26899.2,61,Female,7549.59,4553.81,731,1860562.05,60,1.9538,1
41470.99,31,Female,11635.77,12151.07,662,1994412.42,36,2.148,1
38658.71,44,Male,11743.3,4302.8,794,514060.13,36,0.8504,0
35359.96,26,Female,11081.37,4193.52,795,1607799.86,60,1.4206,1
118506.98,46,Male,14140.01,31174.65,720,529256.04,84,0.4588,0
60023.47,27,Male,11153.37,16491.37,850,2371960.2,12,3.9532,1
26096.54,59,Female,7092.53,2097.53,850,1720025.66,84,1.4807,1
77569.61,39,Female,17425.75,26412.84,741,328782.04,12,0.9398,0
141644.84,26,Female,20916.55,4188.66,789,548877.35,36,0.3041,0
82144.29,49,Female,19564.91,1969.49,805,1692304.24,48,0.7946,0
25000.0,59,Female,5046.47,5210.66,646,1244009.19,12,4.8082,1
38479.58,22,Male,7600.09,9733.77,738,1867114.4,24,2.712,1
92360.58,39,Female,27933.39,31061.8,675,773893.12,36,0.9131,0
34412.16,24,Male,6947.8,4877.27,666,1679002.09,60,1.4045,1
61200.44,26,Male,6524.8,541.75,727,524704.4,60,0.3019,0
72208.79,57,Female,8269.05,15237.04,732,1404904.63,84,0.6587,0
30838.98,48,Female,9685.32,3126.88,615,2398719.02,84,1.7473,1
47583.31,50,Female,16185.47,7210.37,742,1607733.36,36,1.5978,1
25000.0,27,Female,6802.56,4274.11,703,219984.68,84,0.5937,0
29372.27,29,Male,5612.81,663.21,810,2473029.13,84,1.6553,1
43205.19,45,Female,14458.62,7348.93,795,476479.19,36,0.8658,0
26268.04,53,Male,6979.44,3919.5,664,1823365.85,12,6.5498,1
110880.2,21,Female,34492.99,27652.47,805,1378072.09,36,0.9674,0
25000.0,26,Male,7286.58,5649.58,754,806465.65,36,1.5736,1
39339.24,38,Male,7662.69,2550.19,705,525545.17,84,0.4884,0
52332.36,30,Male,11496.14,3775.71,686,526485.67,24,0.7607,1
100774.1,48,Female,14766.73,8853.22,645,2160159.23,60,0.7004,0
25000.0,31,Female,4325.09,1565.82,640,2194990.03,84,1.739,1
87691.64,53,Male,25827.94,20171.24,601,1216349.25,12,1.7505,1
49272.26,21,Female,15939.31,17149.24,721,348691.51,48,0.8544,0
30008.79,33,Female,8435.92,6849.14,586,2221996.25,12,7.0536,1
61762.5,57,Male,13358.82,13114.56,663,1268839.57,60,0.8753,1
54150.9,40,Male,6586.23,7769.29,762,1153029.81,48,0.8154,0
36311.56,21,Male,4148.12,3972.6,817,1077656.86,36,1.1953,1
50761.88,23,Male,9826.56,16186.74,645,976034.02,24,1.4086,1
40430.64,38,Male,8731.22,13712.08,759,1362412.97,24,2.1257,1
51883.63,61,Male,13089.21,9021.09,699,1550898.94,60,1.0761,1
68259.05,34,Male,6936.65,6933.08,686,1219437.29,84,0.5091,0
108337.69,51,Male,37639.84,29201.64,730,2251955.59,60,1.0689,0
26399.29,47,Male,5041.86,1223.87,677,862386.95,24,1.7599,1
142417.29,37,Female,44437.56,38161.55,714,1487948.46,48,0.85,0
25000.0,49,Female,5843.54,7165.8,724,819889.41,48,1.368,1
45438.16,56,Male,6025.55,1986.39,795,1908040.06,84,0.8953,1
65785.75,57,Male,19695.69,22492.25,809,345090.64,12,1.1049,1
56415.31,46,Female,15652.81,19459.3,681,552877.59,36,0.9432,1
35905.66,37,Male,8325.05,11771.74,702,2022883.38,84,1.5244,1
44176.09,42,Female,10100.34,7669.51,772,539674.23,48,0.718,0
38311.28,45,Male,4668.99,3299.59,708,1601791.23,36,1.5768,1
36509.13,22,Male,9637.03,7437.03,766,2428584.28,60,1.914,1
74966.83,42,Other,24574.97,11018.39,778,1354937.47,48,0.9419,0
58601.04,25,Female,7226.17,4224.08,786,549751.47,48,0.4379,0
34667.06,24,Male,5750.5,5140.67,725,869658.51,48,0.9625,1
76864.54,56,Female,25025.33,17860.36,644,2076299.38,12,2.9453,1
57162.29,26,Female,9779.67,1418.75,709,943986.19,84,0.4787,0
73602.26,41,Female,19393.16,8589.11,687,1836427.26,60,0.9227,1
67158.74,33,Male,15695.3,418.28,770,1965640.15,24,1.6041,1
32386.68,57,Male,8066.94,8495.78,819,1302838.83,12,4.0668,1
37045.77,45,Female,7555.38,8307.22,820,1979712.12,12,5.1513,1
71228.39,46,Male,12464.82,1562.41,777,860567.21,48,0.5092,0
66515.16,59,Male,7458.57,22459.38,659,1338783.15,12,2.2287,1
48511.16,40,Male,13877.6,384.09,811,1747739.83,84,0.9109,0
51982.57,53,Male,14894.22,10733.68,747,503375.55,84,0.6588,0
92858.53,34,Female,24856.5,25232.32,666,756692.72,84,0.6789,0
36468.87,56,Other,9515.04,10056.79,776,1664887.85,24,2.6644,1
64443.79,37,Male,10370.89,773.31,705,1672864.29,12,2.4672,1
44307.25,41,Female,4678.24,14056.27,593,1283926.35,84,0.919,1
43965.45,36,Female,13285.43,14133.05,656,2009404.86,12,4.663,1
84913.5,36,Female,18917.42,16684.37,715,1256931.76,48,0.8018,0
74065.73,40,Female,13088.12,12497.04,713,2215173.44,60,0.9957,0
73626.1,49,Male,9238.82,1156.2,650,1866168.23,84,0.5752,0
94158.93,48,Male,10892.34,18519.55,768,855267.67,24,0.7357,0
49538.33,28,Male,9274.4,7097.98,753,1048609.62,48,0.8776,0
68938.94,44,Male,20763.32,18646.76,626,1702448.05,12,2.7543,1
41976.56,23,Female,13838.87,5933.77,850,2246686.29,84,1.3875,1
57646.41,45,Male,18688.26,13792.09,641,528900.96,24,0.9911,1
45932.51,39,Female,15157.74,1630.28,690,1335192.49,36,1.3172,1
51456.8,53,Other,16822.84,2394.45,744,385082.61,84,0.5016,0
66011.12,22,Female,15301.79,3227.85,690,770692.37,84,0.4806,0
32561.62,35,Other,5042.29,518.83,814,1746355.26,12,4.9109,1
139552.15,42,Female,41797.49,26440.26,708,286563.12,60,0.5336,0
29643.3,30,Female,4548.12,8237.54,660,1689660.6,12,5.469,1
26713.0,38,Female,4455.78,5707.07,759,2261946.69,60,2.2215,1
87470.37,42,Male,13847.75,17602.03,531,2426488.7,36,1.2677,1
72826.22,47,Male,16658.68,17348.54,754,619917.28,48,0.687,0
66974.01,33,Female,12085.92,7961.59,803,1897355.1,48,1.0315,0
67115.67,53,Male,9298.14,8502.48,570,2323289.08,84,0.8579,1
48721.54,25,Male,10391.98,5359.1,693,319286.35,48,0.4927,0
31299.98,46,Male,9968.32,7801.15,612,1093656.66,24,2.1962,1
50914.46,33,Male,12353.79,2880.44,720,2306583.44,60,1.2842,1
34941.1,47,Female,11166.61,159.29,850,586690.0,12,1.8081,1
79822.43,34,Female,11890.99,16656.45,734,2341025.64,24,1.7245,1
45545.69,44,Male,6455.8,15022.49,705,1365260.97,24,1.8687,1
32443.37,23,Male,7912.75,6919.94,536,339743.4,12,1.3827,1
41743.84,50,Other,9009.67,11438.75,648,1179705.56,36,1.4151,1
60262.53,55,Male,15972.17,14190.42,711,883026.87,48,0.8792,0
36980.19,34,Female,11044.38,6438.36,726,777289.99,36,1.1609,1
32496.57,32,Male,9353.38,8170.85,742,1399541.38,36,1.9492,1
55372.79,48,Female,18581.19,15971.53,769,1260622.46,48,1.2124,1
55408.22,49,Other,11057.49,4358.19,661,1256721.18,36,1.0208,1
38045.13,37,Male,5767.52,4475.84,722,311540.15,24,0.6509,0
38734.3,60,Male,9208.23,3033.05,687,2025563.63,84,1.2114,1
55051.53,41,Male,7029.3,8712.48,659,1255454.36,12,2.3015,1
25000.0,43,Female,4305.32,7744.31,663,2070173.99,84,1.8998,1
25000.0,40,Female,3799.3,3020.56,755,2079027.14,24,4.1488,1
34227.27,31,Male,6816.05,4485.94,553,861124.78,84,0.761,1
44058.63,54,Male,5630.87,13267.31,599,110431.13,24,0.5458,0
57265.51,30,Female,6182.41,10329.61,850,2286989.63,60,1.1567,1
102506.15,30,Male,27081.97,19210.39,676,1925667.26,48,0.9371,0
75269.46,26,Male,19010.22,22677.22,815,357404.7,48,0.6766,0
45253.29,56,Female,12539.22,7769.28,715,1784144.88,84,1.1238,1
48556.92,44,Female,12872.27,11583.02,683,148055.84,24,0.6458,1
29695.04,32,Male,3818.0,890.13,762,166621.77,48,0.3036,0
48569.13,43,Male,8391.28,3036.6,725,1361975.78,60,0.845,1
42432.53,47,Male,5617.29,6005.55,708,330489.83,84,0.4073,0
57604.69,57,Male,17900.26,9976.77,717,2414407.65,12,4.1883,1
32415.26,26,Female,9294.29,10956.58,745,2245194.94,36,2.8923,1
63555.78,21,Male,9557.63,21591.68,675,1659548.87,48,1.165,1
105489.79,26,Female,19550.14,31427.41,688,252901.53,24,0.595,0
46426.23,42,Female,15861.7,5128.22,656,879604.62,48,0.9418,1
59925.41,61,Male,14893.85,20219.43,641,992135.19,24,1.3576,1
69221.86,44,Male,20786.56,16701.11,840,1254111.61,84,0.8518,0
40110.35,45,Female,6664.25,5516.34,661,505366.9,84,0.5194,0
54832.93,35,Female,8362.75,13466.21,784,1486027.94,36,1.2854,1
49330.42,46,Male,14600.78,285.28,696,1145849.55,48,0.9021,1
51474.31,28,Male,13973.63,2633.12,755,2373512.71,36,1.8322,1
33306.08,44,Male,9000.78,9671.75,719,2346868.55,24,3.8448,1
49625.25,58,Male,11818.68,11212.86,603,1457137.49,60,1.1025,1
62880.99,26,Male,15147.69,8015.32,721,1646438.41,60,0.9377,1
101272.66,55,Male,28753.78,17746.35,759,430711.52,12,0.835,0
79192.38,21,Female,13264.77,25088.13,657,635975.77,24,0.8586,1
143859.33,56,Female,27073.19,31800.44,850,2261716.97,24,1.142,0
33400.5,32,Female,10618.33,4654.44,772,1777998.21,24,2.9383,1
75823.25,58,Male,13437.12,3193.25,773,554632.47,84,0.3446,0
53727.0,31,Male,12710.59,5523.75,780,1468504.73,84,0.8074,0
146517.69,32,Male,40389.05,50170.45,568,2343427.0,60,0.9658,1
32723.57,59,Female,11452.63,5009.23,765,928410.65,60,1.1199,0
32213.44,27,Female,6726.9,5319.85,850,545968.9,60,0.7425,0
